16:47:41 [INFO ] core.DslCore                             : 93   - Plugin 'net.certiv.antlr.dt.core' starting.
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.commentML: '' -> '63,127,95'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.commentML_dark: '' -> '63,127,95'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.commentSL: '' -> '63,127,95'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.commentSL_dark: '' -> '63,127,95'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.commentJD: '' -> '0,128,192'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.commentJD_dark: '' -> '0,128,192'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.keyWords: '' -> '127,0,85'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.keyWords_dark: '' -> '77,154,6'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.symbols: '' -> '170,0,170'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.symbols_dark: '' -> '77,154,6'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.string: '' -> '42,0,255'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.string_dark: '' -> '42,0,255'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.codeassist_proposals_background: '' -> '255,255,255'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.codeassist_proposals_foreground: '' -> '0,0,0'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.codeassist_parameters_background: '' -> '255,255,255'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.codeassist_parameters_foreground: '' -> '0,0,0'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.codeassist_completion_replacement_background: '' -> '255,255,85'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.codeassist_completion_replacement_foreground: '' -> '255,0,0'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.consoleFgError: '' -> '255,0,0'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.consoleFgWarn: '' -> '255,128,64'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.consoleFgInfo: '' -> '0,0,170'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.consoleFgDebug: '' -> '0,64,0'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.consoleFgNormal: '' -> '0,0,0'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.consoleBackground: '' -> '255,255,255'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.editor.matching_brackets_color: '' -> '192,192,192'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.sourceHoverBackgroundColor: '' -> '255,255,225'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.action: '' -> '70,150,170'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.actionName: '' -> '220,0,0'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.symbols: '170,0,170' -> '127,0,85'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.rulename: '' -> '0,0,192'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.modename: '' -> '0,77,255'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.ptColorConn: '' -> '128,128,128'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.ptColorConnHighlight: '' -> '127,0,0'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.ptColorNodeForeground: '' -> '0,0,0'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.ptColorNodeBackground: '' -> '216,228,248'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.ptColorNodeHighlight: '' -> '255,255,0'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.ptColorNodeAdjacent: '' -> '255,196,0'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.ptColorNodeRule: '' -> '216,228,248'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.ptColorNodeTerminal: '' -> '220,220,220'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.ptColorNodeError: '' -> '255,153,153'
16:47:41 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.core.ptTooltipColor: '' -> '255,255,225'
16:48:28 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.vis.views.tree.TreeView.link: 'false' -> 'true'
16:48:40 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.vis.views.tree.TreeView.layout: '' -> 'Vertical Tree'
16:48:46 [DEBUG] core.preferences.PrefsAdapter            : 660  - net.certiv.antlr.dt.vis.views.tree.TreeView.router: '' -> 'Fan'
